0.005,179.3
0.01,149.3
0.015,145.8
0.02,161.8
0.025,156.7
0.03,153.6
0.035,157.8
0.04,158.6
0.045,164.4
0.05,166.3
0.055,167.3
0.06,167.2
0.065,165.4
0.07,167.1
0.075,163.3
0.08,164.6
0.085,164.3
0.09,165.4
0.095,157.1
0.1,155.2
0.105,155.7
0.11,155.9
0.115,155.0
0.12,157.0
0.125,155.5
0.13,155.9
0.135,157.8
0.14,157.3
0.145,155.6
0.15,154.9
0.155,154.8
0.16,155.4
0.165,155.3
0.17,155.4
0.175,156.2
0.18,156.0
0.185,155.8
0.19,154.5
0.195,248.3
0.2,247.6
0.205,248.0
0.21,248.0
0.215,248.2
0.22,247.6
0.225,249.6
0.23,249.8
0.235,250.1
0.24,250.0
0.245,249.7
0.25,250.3
